"id","latitude","longitude","0m","5m","10m","15m","20m","25m","30m","35m","40m","45m","50m","55m","60m","65m","70m","75m","80m","85m","90m","95m","100m","125m","150m","175m","200m","225m","250m","275m","300m","325m","350m","375m","400m","425m","450m","475m","500m","550m","600m","650m","700m","750m","800m","850m","900m","950m","1000m","1050m","1100m","1150m","1200m","1250m","1300m","1350m","1400m","1450m","1500m","1550m","1600m","1650m","1700m","1750m","1800m","1850m","1900m","1950m","2000m","2100m","2200m","2300m","2400m","2500m","2600m","2700m","2800m","2900m","3000m","3100m","3200m","3300m","3400m","3500m","3600m","3700m","3800m","3900m","4000m","4100m","4200m","4300m","4400m","4500m","4600m","4700m","4800m","4900m","5000m","5100m","5200m","5300m","5400m","5500m"
"1","-77.5","-178.5","-1.353","-1.384","-1.433","-1.441","-1.423","-1.431","-1.487","-1.54","-1.572","-1.584","-1.585","-1.595","-1.622","-1.648","-1.668","-1.687","-1.697","-1.701","-1.714","-1.729","-1.744","-1.753","-1.739","-1.743","-1.765","-1.761","-1.781","-1.808","-1.876","-1.936","-1.976","-2.006","-2.038","-2.06","-2.064","-2.071","-2.071","-1.928","-1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","-77.5","-177.5","-1.385","-1.414","-1.459","-1.469","-1.468","-1.488","-1.527","-1.567","-1.588","-1.595","-1.599","-1.613","-1.642","-1.671","-1.692","-1.713","-1.723","-1.725","-1.735","-1.745","-1.758","-1.775","-1.766","-1.777","-1.806","-1.814","-1.841","-1.873","-1.921","-1.954","-1.987","-2.016","-2.044","-2.06","-2.064","-2.069","-2.07","-1.936","-1.947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","-77.5","-176.5","-1.448","-1.453","-1.491","-1.481","-1.454","-1.471","-1.521","-1.567","-1.594","-1.607","-1.617","-1.631","-1.658","-1.684","-1.703","-1.719","-1.731","-1.735","-1.747","-1.759","-1.772","-1.794","-1.777","-1.805","-1.841","-1.855","-1.878","-1.899","-1.942","-1.964","-1.994","-2.022","-2.048","-2.061","-2.063","-2.068","-2.069","-1.934","-1.962","-0.934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","-77.5","-175.5","-1.466","-1.469","-1.509","-1.523","-1.492","-1.478","-1.5","-1.532","-1.553","-1.565","-1.583","-1.616","-1.653","-1.688","-1.708","-1.728","-1.741","-1.746","-1.758","-1.769","-1.783","-1.813","-1.799","-1.837","-1.868","-1.886","-1.904","-1.912","-1.948","-1.967","-1.994","-2.019","-2.047","-2.059","-2.059","-2.064","-2.065","-1.936","-1.976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","-77.5","-174.5","-1.49","-1.493","-1.529","-1.541","-1.524","-1.52","-1.545","-1.576","-1.605","-1.622","-1.632","-1.649","-1.677","-1.702","-1.719","-1.738","-1.75","-1.755","-1.767","-1.779","-1.793","-1.829","-1.816","-1.858","-1.894","-1.912","-1.93","-1.928","-1.961","-1.97","-1.993","-2.013","-2.043","-2.058","-2.058","-2.064","-2.065","-1.938","-1.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","-77.5","-173.5","-1.481","-1.482","-1.507","-1.533","-1.528","-1.545","-1.56","-1.58","-1.59","-1.592","-1.603","-1.617","-1.655","-1.69","-1.717","-1.741","-1.755","-1.764","-1.778","-1.79","-1.804","-1.837","-1.821","-1.864","-1.903","-1.926","-1.94","-1.937","-1.968","-1.973","-1.995","-2.007","-2.038","-2.057","-2.057","-2.065","-2.07","-1.938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","-77.5","-172.5","-1.497","-1.505","-1.539","-1.56","-1.575","-1.592","-1.604","-1.622","-1.635","-1.645","-1.656","-1.674","-1.7","-1.725","-1.743","-1.761","-1.774","-1.78","-1.791","-1.805","-1.814","-1.849","-1.832","-1.868","-1.914","-1.939","-1.951","-1.943","-1.975","-1.98","-1.994","-1.998","-2.037","-2.059","-2.06","-2.071","-2.071","-1.934","-2.014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","-77.5","-171.5","-1.498","-1.509","-1.543","-1.565","-1.582","-1.602","-1.618","-1.636","-1.641","-1.657","-1.665","-1.681","-1.706","-1.728","-1.747","-1.768","-1.782","-1.789","-1.801","-1.814","-1.823","-1.845","-1.839","-1.873","-1.917","-1.947","-1.96","-1.95","-1.98","-1.984","-1.992","-1.988","-2.022","-2.048","-2.051","-2.066","-2.071","-1.927","-2.021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","-77.5","-170.5","-1.5","-1.511","-1.545","-1.565","-1.582","-1.603","-1.622","-1.64","-1.654","-1.665","-1.675","-1.69","-1.719","-1.745","-1.76","-1.78","-1.792","-1.799","-1.81","-1.823","-1.832","-1.874","-1.869","-1.901","-1.935","-1.966","-1.977","-1.967","-1.996","-1.998","-1.99","-1.981","-2.004","-2.028","-2.042","-2.062","-2.062","-1.919","-2.025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","-77.5","-169.5","-1.495","-1.51","-1.543","-1.562","-1.58","-1.602","-1.622","-1.64","-1.655","-1.669","-1.683","-1.7","-1.726","-1.751","-1.769","-1.787","-1.8","-1.806","-1.818","-1.83","-1.838","-1.873","-1.867","-1.894","-1.926","-1.962","-1.982","-1.967","-1.994","-1.996","-1.984","-1.97","-1.977","-1.991","-2.02","-2.049","-2.047","-1.911","-2.029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
