"id","first_name","last_name","bats","throws","weight","height","debut","final_game","birth_year","birth_month","birth_day","birth_city","birth_state","birth_country"
"1","Al","Pratt","","R","140","67","1871-05-04","1872-08-19","1847","11","19","Pittsburgh","PA","USA"
"2","Art","Allison","","","150","68","1871-05-04","1876-10-05","1849","1","29","Philadelphia","PA","USA"
"3","Bill","Kelly","","","150","67","1871-05-04","1871-08-29","","","","New York","NY","USA"
"4","Bill","Lennon","","","145","67","1871-05-04","1873-07-11","1845","1","3","Brooklyn","NY","USA"
"5","Bobby","Mathews","R","R","140","65","1871-05-04","1887-10-10","1851","11","21","Baltimore","MD","USA"
"6","Charlie","Pabor","L","L","155","68","1871-05-04","1875-10-28","1846","9","24","Brooklyn","NY","USA"
"7","Deacon","White","L","R","175","71","1871-05-04","1890-10-04","1847","12","2","Caton","NY","USA"
"8","Ed","Mincher","","","155","67","1871-05-04","1872-06-26","1851","6","17","Baltimore","MD","USA"
"9","Elmer","White","","","","","1871-05-04","1871-09-27","1849","12","7","Caton","NY","USA"
"10","Ezra","Sutton","R","R","153","68","1871-05-04","1888-06-20","1849","9","17","Seneca Falls","NY","USA"
"11","Frank","Sellman","","","145","69","1871-05-04","1875-05-03","1851","1","21","Baltimore","MD","USA"
"12","Gene","Kimball","","","160","70","1871-05-04","1871-09-27","1850","8","31","Rochester","NY","USA"
"13","James","McDermott","","","","","1871-05-04","1872-07-06","1846","","","Brooklyn","NY","USA"
"14","Jim","Carleton","","","155","68","1871-05-04","1872-05-22","1848","8","20","Clinton","CT","USA"
"15","Jim","Foran","","","159","66","1871-05-04","1871-08-29","1847","","","","PA","USA"
"16","John","Bass","","","150","66","1871-05-04","1877-08-20","1848","","","Charleston","MD","USA"
"17","Tom","Carey","R","R","145","68","1871-05-04","1879-09-29","1846","11","2","Brooklyn","NY","USA"
"18","Wally","Goldsmith","","","146","67","1871-05-04","1875-06-14","1848","10","","Baltimore","MD","USA"
"19","Al","Spalding","R","R","170","73","1871-05-05","1878-08-31","1850","9","2","Byron","IL","USA"
"20","Andy","Leonard","R","R","168","67","1871-05-05","1880-07-06","1846","6","1","","Antrim","Ireland"
"21","Asa","Brainard","","R","150","68","1871-05-05","1874-10-14","1841","","","Albany","NY","USA"
"22","Cal","McVey","R","R","170","69","1871-05-05","1879-09-30","1849","8","30","Montrose","IA","USA"
"23","Charlie","Gould","R","R","172","72","1871-05-05","1877-07-12","1847","8","21","Cincinnati","OH","USA"
"24","Dave","Birdsall","","","126","69","1871-05-05","1873-05-17","1838","7","16","New York","NY","USA"
"25","Davy","Force","R","R","130","64","1871-05-05","1886-08-20","1849","7","27","New York","NY","USA"
"26","Doug","Allison","R","R","160","70","1871-05-05","1883-07-13","1846","7","12","Philadelphia","PA","USA"
"27","Everett","Mills","","","174","73","1871-05-05","1876-10-17","1845","1","20","Newark","NJ","USA"
"28","Frank","Norton","","","","","1871-05-05","1871-05-05","1845","6","9","Port Jefferson","NY","USA"
"29","Fred","Cone","","","171","69","1871-05-05","1871-09-09","1848","5","","Rockford","IL","USA"
"30","Fred","Waterman","","","148","67","1871-05-05","1875-09-23","1845","","","New York","NY","USA"
"31","George","Hall","L","L","142","67","1871-05-05","1877-10-06","1849","3","29","Stepney","London","United Kingdom"
"32","George","Wright","R","R","150","69","1871-05-05","1882-10-02","1847","1","28","New York","NY","USA"
"33","Harry","Berthrong","","","140","66","1871-05-05","1871-07-04","1844","1","1","Mumford","NY","USA"
"34","Harry","Schafer","R","R","143","69","1871-05-05","1878-08-31","1846","8","14","Philadelphia","PA","USA"
"35","Harry","Wright","R","R","157","69","1871-05-05","1877-09-29","1835","1","10","Sheffield","","United Kingdom"
"36","Henry","Burroughs","","","147","68","1871-05-05","1872-05-07","1845","2","3","Newark","NJ","USA"
"37","Ross","Barnes","R","R","145","68","1871-05-05","1881-09-21","1850","5","8","Mount Morris","NY","USA"
"38","Bob","Addy","L","L","160","68","1871-05-06","1877-10-06","1842","2","","Port Hope","ON","CAN"
"39","Cap","Anson","R","R","227","72","1871-05-06","1897-10-03","1852","4","17","Marshalltown","IA","USA"
"40","Cherokee","Fisher","R","R","164","69","1871-05-06","1878-07-09","1844","11","","Philadelphia","PA","USA"
"41","Denny","Mack","R","R","164","67","1871-05-06","1883-09-27","1850","3","14","Mauch Chunk","PA","USA"
"42","Gat","Stires","L","R","180","68","1871-05-06","1871-09-15","1849","10","13","Hunterdon County","NJ","USA"
"43","George","Bird","R","R","150","69","1871-05-06","1871-09-15","1850","6","23","Stillman Valley","IL","USA"
"44","Pony","Sager","","","140","66","1871-05-06","1871-05-30","1848","8","12","Holmesburg","PA","USA"
"45","Ralph","Ham","","","158","68","1871-05-06","1871-09-15","1849","3","","Troy","NY","USA"
"46","Scott","Hastings","R","R","161","68","1871-05-06","1877-09-01","1847","8","10","Hillsboro","OH","USA"
"47","Charlie","Hodes","","R","175","71","1871-05-08","1874-07-13","1848","","","New York","NY","USA"
"48","Ed","Duffy","","R","152","67","1871-05-08","1871-10-30","1844","","","","","Ireland"
"49","Ed","Pinkham","L","L","142","67","1871-05-08","1871-09-18","1846","8","","Brooklyn","NY","USA"
"50","George","Zettlein","R","R","162","69","1871-05-08","1876-09-16","1844","7","12","Williamsburg","NY","USA"
"51","Jimmy","Wood","","R","150","68","1871-05-08","1873-11-01","1843","12","1","Brooklyn","NY","USA"
"52","Joe","Simmons","","","166","69","1871-05-08","1875-06-14","1845","6","13","New York","NY","USA"
"53","Marshall","King","","R","176","69","1871-05-08","1872-06-17","1849","12","","Lansingburgh","NY","USA"
"54","Michael","McAtee","","R","160","73","1871-05-08","1872-07-23","1845","3","","Troy","NY","USA"
"55","Tom","Foley","","","157","69","1871-05-08","1871-10-30","1847","","","Chicago","IL","USA"
"56","Bill","Craver","R","R","160","69","1871-05-09","1877-10-05","1844","6","","Troy","NY","USA"
"57","Clipper","Flynn","","R","140","67","1871-05-09","1872-05-24","1849","4","29","Lansingburgh","NY","USA"
"58","Edward","Beavens","","","138","68","1871-05-09","1872-08-22","1848","","","Troy","NY","USA"
"59","John","McMullin","R","L","160","69","1871-05-09","1875-10-25","1849","4","1","Philadelphia","PA","USA"
"60","Lip","Pike","L","L","158","68","1871-05-09","1887-07-28","1845","5","25","New York","NY","USA"
"61","Mike","McGeary","R","R","138","67","1871-05-09","1882-06-26","1850","11","16","Philadelphia","PA","USA"
"62","Sam","Jackson","R","R","160","65","1871-05-09","1872-05-07","1849","3","24","Ripon","North Yorkshire","United Kingdom"
"63","Steve","Bellan","","","154","68","1871-05-09","1873-06-09","1849","10","1","La Habana","La Habana","Cuba"
"64","Steve","King","","","175","69","1871-05-09","1872-07-23","1844","","","Lansingburgh","NY","USA"
"65","Tom","York","L","L","165","69","1871-05-09","1885-10-01","1850","7","13","Brooklyn","NY","USA"
"66","John","Glenn","R","R","169","68","1871-05-13","1877-09-28","1850","1","","Rochester","NY","USA"
"67","Pete","Donnelly","","","","","1871-05-13","1871-07-08","","","","","",""
"68","Fred","Treacey","","R","145","69","1871-05-16","1876-10-17","1847","","","Brooklyn","NY","USA"
"69","Bob","Ferguson","B","R","149","69","1871-05-18","1884-07-01","1845","1","31","Brooklyn","NY","USA"
"70","Charlie","Mills","","","165","72","1871-05-18","1872-09-28","1844","9","","Brooklyn","NY","USA"
"71","Charlie","Smith","","","150","70","1871-05-18","1871-08-01","1840","12","11","Brooklyn","NY","USA"
"72","Dave","Eggler","R","R","165","69","1871-05-18","1885-06-09","1849","4","30","Brooklyn","NY","USA"
"73","Dickey","Pearce","R","R","161","63","1871-05-18","1877-10-06","1836","2","29","Brooklyn","NY","USA"
"74","Joe","Start","L","L","165","69","1871-05-18","1886-07-09","1842","10","14","New York","NY","USA"
"75","John","Hatfield","","","165","70","1871-05-18","1876-05-05","1847","7","20","Hoboken","NJ","USA"
"76","Ned","Connor","","","156","69","1871-05-18","1871-10-23","1850","","","","NY","USA"
"77","Rynie","Wolters","","R","165","72","1871-05-18","1873-04-28","1844","3","17","Nieuweschans","Groningen","Netherlands"
"78","Tom","Patterson","","L","143","67","1871-05-18","1875-09-06","1845","","","New York","NY","USA"
"79","Charlie","Sweasy","R","R","172","69","1871-05-19","1878-09-30","1847","11","2","Newark","NJ","USA"
"80","Al","Reach","L","L","155","66","1871-05-20","1875-05-21","1840","5","25","London","London","United Kingdom"
"81","Count","Sensenderfer","","","170","69","1871-05-20","1874-10-21","1847","12","28","Philadelphia","PA","USA"
"82","Dick","McBride","","R","150","69","1871-05-20","1876-07-13","1847","6","14","Philadelphia","PA","USA"
"83","Frank","Barrows","","","","","1871-05-20","1871-10-07","1844","10","22","Hudson","OH","USA"
"84","George","Bechtel","","","165","71","1871-05-20","1876-08-19","1848","9","2","Philadelphia","PA","USA"
"85","George","Heubel","","","178","71","1871-05-20","1876-08-17","1849","6","20","","","Germany"
"86","John","Radcliff","","","140","66","1871-05-20","1875-05-24","1848","6","29","Philadelphia","PA","USA"
"87","Levi","Meyerle","R","R","177","73","1871-05-20","1884-04-26","1849","7","","Philadelphia","PA","USA"
"88","Ned","Cuthbert","R","R","140","66","1871-05-20","1884-09-04","1845","6","20","Philadelphia","PA","USA"
