"id","district_id","name","type","city","state","zip"
"1","1","Abby Kelley Foster Charter Public School","Charter School","Worcester","MA","01606"
"2","2","Abington Early Education Program","Public School","Abington","MA","02351"
"3","2","Abington High","Public School","Abington","MA","02351"
"4","2","Abington Middle School","Public School","Abington","MA","02351"
"5","2","Beaver Brook Elementary","Public School","Abington","MA","02351"
"6","2","Woodsdale Elementary School","Public School","Abington","MA","02351"
"7","3","Academy Of the Pacific Rim Charter Public School","Charter School","Hyde Park","MA","02136"
"8","5","Acton-Boxborough Regional High","Public School","Acton","MA","01720"
"9","5","Blanchard Memorial School","Public School","Boxborough","MA","01719"
"10","5","C.T. Douglas Elementary School","Public School","Acton","MA","01720"
"11","5","Carol Huebner Early Childhood Program","Public School","Acton","MA","01720"
"12","5","Luther Conant School","Public School","Acton","MA","01720"
"13","5","McCarthy-Towne School","Public School","Acton","MA","01720"
"14","5","Merriam School","Public School","Acton","MA","01720"
"15","5","Paul P Gates Elementary School","Public School","Acton","MA","01720"
"16","5","Raymond J Grey Junior High","Public School","Acton","MA","01720"
"17","6","Acushnet Elementary School","Public School","Acushnet","MA","02743"
"18","6","Albert F Ford Middle School","Public School","Acushnet","MA","02743"
"19","8","Advanced Math and Science Academy Charter School","Charter School","Marlborough","MA","01752"
"20","9","Agawam Early Childhood Center","Public School","Agawam","MA","01001"
"21","9","Agawam High","Public School","Agawam","MA","01001"
"22","9","Agawam Junior High","Public School","Feeding Hills","MA","01030"
"23","9","Benjamin J Phelps","Public School","Agawam","MA","01001"
"24","9","Clifford M Granger","Public School","Feeding Hills","MA","01030"
"25","9","James Clark School","Public School","Agawam","MA","01001"
"26","9","Roberta G. Doering School","Public School","Agawam","MA","01001"
"27","9","Robinson Park","Public School","Agawam","MA","01001"
"28","11","Alma del Mar Charter School","Charter School","New Bedford","MA","02746"
"29","12","Amesbury Elementary","Public School","Amesbury","MA","01913"
"30","12","Amesbury High","Public School","Amesbury","MA","01913"
"31","12","Amesbury Innovation High School","Public School","Amesbury","MA","01913"
"32","12","Amesbury Middle","Public School","Amesbury","MA","01913"
"33","12","Charles C Cashman Elementary","Public School","Amesbury","MA","01913"
"34","13","Crocker Farm Elementary","Public School","Amherst","MA","01002"
"35","13","Fort River Elementary","Public School","Amherst","MA","01002"
"36","13","Wildwood Elementary","Public School","Amherst","MA","01002"
"37","14","Amherst Regional High","Public School","Amherst","MA","01002"
"38","14","Amherst Regional Middle School","Public School","Amherst","MA","01002"
